detector,control,cascade_stage_index,cascade_stage_name,randomized_group_count,randomized_group_names,randomized_module_prefixes,full_model_parameter_randomization,training_data_randomization_performed,subset_image_count,subset_patient_count,subset_stratum_counts,trained_valid_count,trained_failure_count,trained_failure_rate,randomized_valid_count,randomized_failure_count,randomized_failure_rate,k_valid_similarity_pairs,map_pair_failure_count,map_pair_failure_rate,pearson_mean,pearson_std,pearson_median,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_median,spearman_min,spearman_max,ssim_mean,ssim_std,ssim_median,ssim_min,ssim_max
faster_rcnn,input_pixel_randomization_control,0,input_pixel_permutation,0,[],[],False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,43,7,0.14,43,7,0.14,-0.02056731643531379,0.06296130283312498,-0.03171094793197723,-0.13287878760144325,0.17278863240805176,-0.018828915899520775,0.09780239117283478,-0.04231263999229278,-0.20489464827700088,0.18648059997003127,0.2467966665122608,0.14934976971078276,0.20959675063290903,0.031726525580257875,0.7124015369207558
faster_rcnn,cascading_model_parameter_randomization,1,detector_output_heads,1,"[""detector_output_heads""]","[""rpn.head"",""roi_heads.box_predictor""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.0644203075249174,0.335221976941867,-0.027511678102490902,-0.5660906321678956,0.8017647383583364,0.051244828072664624,0.39008350975055794,0.008200786589149528,-0.796988520406589,0.683264485372802,0.12215700379706818,0.16992690216789294,0.07564768417153749,-0.19058336782914073,0.4663380735095541
faster_rcnn,cascading_model_parameter_randomization,2,roi_and_pyramid_heads,2,"[""detector_output_heads"",""roi_and_pyramid_heads""]","[""rpn.head"",""roi_heads.box_predictor"",""roi_heads.box_head"",""backbone.fpn""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.04186593437298502,0.15419280150126147,0.019520869169136756,-0.2921623833469249,0.47926849751031314,0.07032652522483071,0.19539533109670254,0.08773932388589853,-0.3245432954644256,0.518333019696924,0.06761723498595255,0.07191256561720466,0.05974377567331403,-0.08486498980814038,0.2633959048174026
faster_rcnn,cascading_model_parameter_randomization,3,backbone_layer4,3,"[""detector_output_heads"",""roi_and_pyramid_heads"",""backbone_layer4""]","[""rpn.head"",""roi_heads.box_predictor"",""roi_heads.box_head"",""backbone.fpn"",""backbone.body.layer4""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.04318161517244727,0.15053576176830077,0.045706582811482155,-0.19662461686086444,0.5469230967244378,0.07941564158326392,0.18338036557640497,0.0801605746417931,-0.28038352803377786,0.6094514077675496,0.0835308114749761,0.08712231581875016,0.052438864203624015,-0.02638385149733807,0.2992164141478707
faster_rcnn,cascading_model_parameter_randomization,4,backbone_layer3,4,"[""detector_output_heads"",""roi_and_pyramid_heads"",""backbone_layer4"",""backbone_layer3""]","[""rpn.head"",""roi_heads.box_predictor"",""roi_heads.box_head"",""backbone.fpn"",""backbone.body.layer4"",""backbone.body.layer3""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,-0.038486687683300456,0.0723622234489455,-0.03195983155967916,-0.3134633873140494,0.07529353638632139,-0.018880675490921664,0.11232416224600891,0.004991237215470772,-0.41975933186268855,0.15569981814259926,0.07561855074911798,0.11967561080943605,0.03083935246926754,-0.06617684994480129,0.5081735228738083
faster_rcnn,cascading_model_parameter_randomization,5,backbone_layer2,5,"[""detector_output_heads"",""roi_and_pyramid_heads"",""backbone_layer4"",""backbone_layer3"",""backbone_layer2""]","[""rpn.head"",""roi_heads.box_predictor"",""roi_heads.box_head"",""backbone.fpn"",""backbone.body.layer4"",""backbone.body.layer3"",""backbone.body.layer2""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.028234531973128866,0.05952810093588592,0.02337388043368341,-0.08763886363260197,0.20382610733002413,0.045168503955487396,0.07961604091038074,0.04263828628248313,-0.10574784989861646,0.32417125527826934,0.09302380063014523,0.12000303152736506,0.054920818864786405,-0.01760440501078689,0.5248750630109005
faster_rcnn,cascading_model_parameter_randomization,6,backbone_early,6,"[""detector_output_heads"",""roi_and_pyramid_heads"",""backbone_layer4"",""backbone_layer3"",""backbone_layer2"",""backbone_early""]","[""rpn.head"",""roi_heads.box_predictor"",""roi_heads.box_head"",""backbone.fpn"",""backbone.body.layer4"",""backbone.body.layer3"",""backbone.body.layer2"",""backbone.body.layer1"",""backbone.body.conv1"",""backbone.body.bn1""]",True,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.002457696201199683,0.10797376061523038,0.01122817835913242,-0.23001842000198902,0.23717181199362639,0.02869880071090143,0.14645863635101616,0.03176912521351261,-0.2833179498929178,0.3377267364921983,0.03812168742005595,0.07114009243231165,0.014336973201584956,-0.042928411474991324,0.38539958361668347
yolo11s,input_pixel_randomization_control,0,input_pixel_permutation,0,[],[],False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,-0.002082820435424688,0.06940917034482738,-0.001160651894771703,-0.21460593629627867,0.13656087251323537,0.013305309593705784,0.06717978996021584,0.018258580475564952,-0.15480130175881404,0.12869384710103915,0.0067284250932971605,0.030766188491770353,-0.0007527201916793611,-0.1084850870899422,0.07079929563583995
yolo11s,cascading_model_parameter_randomization,1,detect_output_head,1,"[""detect_output_head""]","[""model.23""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.08932391166693444,0.34368824905349177,0.06742919459514485,-0.5757526104156717,0.7452871276595031,0.08862397961627373,0.36611032403868776,0.11033258218307344,-0.7346560922890368,0.7583096863204335,0.09347445331884868,0.19494567005334854,0.08827999517218074,-0.21569161529000694,0.5802469651575696
yolo11s,cascading_model_parameter_randomization,2,pan_deep_neck,2,"[""detect_output_head"",""pan_deep_neck""]","[""model.23"",""model.17"",""model.19"",""model.20"",""model.22""]",False,False,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.1809837471191142,0.3316414087812616,0.1117415858261397,-0.6128955979576145,0.8491311845809634,0.18584485007319762,0.353530369734714,0.18357921767730823,-0.7142538636673883,0.8195745810204942,0.16432658963330943,0.2125491070784424,0.1360076805195531,-0.22562550486662103,0.6876845401738365
