processed_file,source_file,sop_class_uid,sop_class_uid_missing,sop_class_name,modality,modality_missing,photometric_interpretation,photometric_interpretation_missing,bits_allocated,bits_allocated_missing,bits_stored,bits_stored_missing,pixel_representation,pixel_representation_missing,pixel_intensity_relationship,pixel_intensity_relationship_missing,pixel_intensity_relationship_sign,pixel_intensity_relationship_sign_missing,rescale_slope,rescale_slope_missing,rescale_intercept,rescale_intercept_missing,rescale_type,rescale_type_missing,modality_lut_sequence_item_count,modality_lut_sequence_item_count_missing,voi_lut_sequence_item_count,voi_lut_sequence_item_count_missing,window_center,window_center_missing,window_width,window_width_missing,voi_lut_function,voi_lut_function_missing,window_center_width_explanation,window_center_width_explanation_missing,presentation_intent_type,presentation_intent_type_missing,presentation_lut_shape,presentation_lut_shape_missing,image_type,image_type_missing,pixel_presentation,pixel_presentation_missing,acquisition_device_processing_description,acquisition_device_processing_description_missing,acquisition_device_processing_code,acquisition_device_processing_code_missing,derivation_description,derivation_description_missing,conversion_type,conversion_type_missing,lossy_image_compression,lossy_image_compression_missing,lossy_image_compression_ratio,lossy_image_compression_ratio_missing,lossy_image_compression_method,lossy_image_compression_method_missing,burned_in_annotation,burned_in_annotation_missing,recognizable_visual_features,recognizable_visual_features_missing,real_world_value_mapping_item_count,real_world_value_mapping_item_count_missing,transfer_syntax_uid,transfer_syntax_uid_missing,transfer_syntax_name,stored_pixel_relationship_class,xray_signal_proportionality_demonstrated,xray_signal_poisson_proxy_eligible,xray_signal_poisson_proxy_assessment
00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.png,00eeb3c9-a892-4fac-a67a-aaa6cc7ffd5c.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
0324368b-3c2f-464a-8b1a-f72113718c38.png,0324368b-3c2f-464a-8b1a-f72113718c38.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
03a512bc-1162-404e-8c71-dc9e0dc7258f.png,03a512bc-1162-404e-8c71-dc9e0dc7258f.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
05ac0be8-b56e-4efb-aef7-513cd788e2c3.png,05ac0be8-b56e-4efb-aef7-513cd788e2c3.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
061d0ff4-a611-42ce-b780-1d1eb55e50ab.png,061d0ff4-a611-42ce-b780-1d1eb55e50ab.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
0837bf4a-b300-4918-b6bd-d67e941bf16a.png,0837bf4a-b300-4918-b6bd-d67e941bf16a.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
0851431b-cad7-436f-acb8-06aed97e5339.png,0851431b-cad7-436f-acb8-06aed97e5339.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
0864e801-58cb-4df8-b7a8-dd9e32c97178.png,0864e801-58cb-4df8-b7a8-dd9e32c97178.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
087bcaa5-2477-4111-8390-fa5f2dec4852.png,087bcaa5-2477-4111-8390-fa5f2dec4852.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
0a897002-2add-44df-90b3-5a17c51a6da4.png,0a897002-2add-44df-90b3-5a17c51a6da4.dcm,1.2.840.10008.5.1.4.1.1.7,False,Secondary Capture Image Storage,CR,False,MONOCHROME2,False,8,False,8,False,0,False,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,WSD,False,01,False,,True,ISO_10918_1,False,,True,,True,,True,1.2.840.10008.1.2.4.50,False,JPEG Baseline (Process 1),unknown_processed_stored_values,False,False,"Pixel Intensity Relationship and Sign are missing. The object is workstation-converted Secondary Capture, which does not establish detector-signal proportionality."
