row_type,detector,seed,run_count,total_detections,matched_true_positives,false_positives,mean_confidence,fraction_true_positives,global_calibration_gap,maximum_confidence,detection_ece,detection_ece_std,detection_ece_mean_plus_minus_std,detection_ece_defined,class_count,total_possible_multidimensional_cells,occupied_cells,supported_cells,detections_in_supported_cells,fraction_detections_in_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max,prediction_score_floor,match_iou_threshold,max_detections_per_image,numeric_calibration_dimensions,class_handling,bins_per_dimension,minimum_samples_per_cell
run,faster_rcnn,17,1,18260,255,18005,0.0559024722530733,0.013964950711938665,0.041937521541134636,0.9349318742752075,0.035072305953740376,,,True,1,3125,354,169,17748,0.971960569550931,28.0,8,1483,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,faster_rcnn,42,1,7682,244,7438,0.07501700816295527,0.03176256183285603,0.04325444633009924,0.9713473320007324,0.03128836082269246,,,True,1,3125,298,95,7170,0.9333506899244989,22.0,8,605,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,faster_rcnn,137,1,25030,259,24771,0.04017179366119304,0.010347582900519377,0.029824210760673667,0.8134608268737793,0.02662713231137108,,,True,1,3125,318,164,24614,0.9833799440671195,34.0,8,2292,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,faster_rcnn,271,1,6588,240,6348,0.06981451221452359,0.03642987249544627,0.03338463971907732,0.9698140025138855,0.026953962174521024,,,True,1,3125,263,84,6149,0.9333636915604129,21.5,8,629,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,faster_rcnn,314,1,3663,208,3455,0.10609155531453084,0.056784056784056784,0.04930749853047405,0.9749884009361267,0.04027477076422441,,,True,1,3125,247,70,3220,0.879060879060879,18.0,8,252,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,yolo11s,17,1,1019,145,874,0.06106602499180156,0.1422963689892051,0.08123034399740356,0.6700419783592224,0.07141554794903528,,,True,1,3125,102,29,835,0.8194308145240432,21.0,9,93,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,yolo11s,42,1,773,124,649,0.06744957741884271,0.16041397153945666,0.09296439412061396,0.532317578792572,0.08830178842140679,,,True,1,3125,81,27,645,0.8344113842173351,17.0,8,84,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,yolo11s,137,1,394,97,297,0.20186882164343473,0.24619289340101522,0.04432407175758049,0.8757928013801575,0.1122666361229376,,,True,1,3125,101,15,214,0.5431472081218274,12.0,8,31,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,yolo11s,271,1,962,145,817,0.005381591676631768,0.15072765072765074,0.14534605905101897,0.04127352312207222,0.13129776887551606,,,True,1,3125,68,21,872,0.9064449064449065,22.0,8,143,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
run,yolo11s,314,1,905,132,773,0.04569468259276277,0.14585635359116023,0.10016167099839746,0.47816890478134155,0.09185182074064295,,,True,1,3125,81,29,797,0.8806629834254144,19.0,8,80,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
detector_descriptive_mean,faster_rcnn,,5,,,,,,,,0.03204330640530987,0.005760602249428948,0.032043 +/- 0.005761,True,,,,,,,,,,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
detector_descriptive_mean,yolo11s,,5,,,,,,,,0.09902671242190773,0.023160290009213432,0.099027 +/- 0.023160,True,,,,,,,,,,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,categorical_class_conditioned_cells,5|5|5|5|5,8
