row_type,detector,seed,seed_count,prediction_count,included_prediction_count,included_prediction_fraction,matched_true_positives,false_positives,mean_confidence,fraction_true_positives,global_calibration_gap,maximum_confidence,detection_ece,detection_ece_std,detection_ece_mean_plus_minus_std,detection_ece_rank_within_detector,sibling_median_detection_ece,detection_ece_to_sibling_median_ratio,nonempty_multivariate_bins,included_multivariate_bins,prediction_score_floor,match_iou_threshold,max_detections_per_image,calibration_dimensions,bins_per_dimension,minimum_samples_per_bin
seed,faster_rcnn,17,1,18260,17748,0.971960569550931,255,18005,0.0559024722530733,0.013964950711938665,0.041937521541134636,0.9349318742752075,0.035072305953740376,,,2,0.02912116149860674,1.2043580732663552,354,169,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,faster_rcnn,42,1,7682,7170,0.9333506899244989,244,7438,0.07501700816295527,0.03176256183285603,0.04325444633009924,0.9713473320007324,0.03128836082269246,,,3,0.0310131340641307,1.008874522581066,298,95,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,faster_rcnn,137,1,25030,24614,0.9833799440671195,259,24771,0.04017179366119304,0.010347582900519377,0.029824210760673667,0.8134608268737793,0.02662713231137108,,,5,0.03318033338821642,0.8024974312291683,318,164,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,faster_rcnn,271,1,6588,6149,0.9333636915604129,240,6348,0.06981451221452359,0.03642987249544627,0.03338463971907732,0.9698140025138855,0.026953962174521024,,,4,0.03318033338821642,0.8123475391025875,263,84,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,faster_rcnn,314,1,3663,3220,0.879060879060879,208,3455,0.10609155531453084,0.056784056784056784,0.04930749853047405,0.9749884009361267,0.04027477076422441,,,1,0.02912116149860674,1.3830070193509039,247,70,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,yolo11s,17,1,1019,835,0.8194308145240432,145,874,0.06106602499180156,0.1422963689892051,0.08123034399740356,0.6700419783592224,0.07141554794903528,,,5,0.10205922843179027,0.6997461086702685,102,29,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,yolo11s,42,1,773,645,0.8344113842173351,124,649,0.06744957741884271,0.16041397153945666,0.09296439412061396,0.532317578792572,0.08830178842140679,,,4,0.10205922843179027,0.8652014107712165,81,27,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,yolo11s,137,1,394,214,0.5431472081218274,97,297,0.20186882164343473,0.24619289340101522,0.04432407175758049,0.8757928013801575,0.1122666361229376,,,2,0.09007680458102488,1.24634345817577,101,15,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,yolo11s,271,1,962,872,0.9064449064449065,145,817,0.005381591676631768,0.15072765072765074,0.14534605905101897,0.04127352312207222,0.13129776887551606,,,1,0.09007680458102488,1.457620188529363,68,21,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
seed,yolo11s,314,1,905,797,0.8806629834254144,132,773,0.04569468259276277,0.14585635359116023,0.10016167099839746,0.47816890478134155,0.09185182074064295,,,3,0.10028421227217219,0.9159150643907572,81,29,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
detector_mean,faster_rcnn,,5,,,,,,,,,,0.03204330640530987,0.005760602249428948,0.032043 +/- 0.005761,,,,,,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
detector_mean,yolo11s,,5,,,,,,,,,,0.09902671242190773,0.023160290009213432,0.099027 +/- 0.023160,,,,,,0.001,0.5,100,confidence|relative_center_x|relative_center_y|relative_width|relative_height,5|5|5|5|5,8
